hotel_name,room_price
Snow Valley Resorts,3435
Goldenfern Resort Shimla,3031
landmark shimla - With Elevator Access To Mall Road,3197
The Zion Hotel,3054
The Rock Castle,3387
Hotel Willow Banks,5944
Hotel Shingar,2646
"Marigold Sarovar Portico, Shimla",4656
Radisson Jass Shimla,9900
HOTEL BASANT,1115
Shimla Havens Resort,3086
Hotel White,1716
Hotel Sidharath,1592
Bridge View Premium,2823
Rocky Knob (Explore World Art in One Property),3897
Hotel Baljees Regency,2913
Marina- Shimla First Designer Boutique Hotel,10800
Fairmount Hotel,1851
"Shyar Residency, Shimla",1197
Hotel Dhroov,4774
Marley Villa,9500
Kalawati Homes Vacation Rentals,6800
OYO 78241 SAM VILLA Studio,2878
Hotel Surya,2675
Bridge View Regency Mall road,2365
OYO 1706 Hotel The Alpine Heritage Residency,1567
Kamna Hill Resort,3129
The Cedar Grand Hotel and Spa,6398
Hotel Chaman Palace,1397
Hotel Combermere,6327
